establishment_type,severity,inspection_date
Institutional Food Services,S - Significant,2022-10-17
Restaurant,S - Significant,2023-09-19
Restaurant,S - Significant,2023-09-19
Restaurant,S - Significant,2023-09-22
Restaurant,S - Significant,2022-06-09
Restaurant,S - Significant,2023-08-30
Restaurant,S - Significant,2022-05-06
Restaurant,S - Significant,2022-05-06
Restaurant,S - Significant,2022-12-09
Restaurant,S - Significant,2023-11-27
Restaurant,S - Significant,2024-01-12
Restaurant,S - Significant,2024-01-12
Restaurant,S - Significant,2024-01-12
Restaurant,S - Significant,2023-12-12
Restaurant,S - Significant,2022-05-13
Restaurant,S - Significant,2022-05-13
Restaurant,S - Significant,2023-01-24
Restaurant,S - Significant,2023-06-26
Food Take Out,S - Significant,2023-12-08
Restaurant,S - Significant,2022-09-26
Restaurant,S - Significant,2022-09-26
Restaurant,S - Significant,2022-09-26
Restaurant,S - Significant,2023-02-03
Restaurant,S - Significant,2023-02-03
Restaurant,S - Significant,2023-02-03
Restaurant,S - Significant,2023-02-03
Restaurant,S - Significant,2023-02-03
Restaurant,C - Crucial,2023-02-03
Restaurant,S - Significant,2023-05-24
Restaurant,S - Significant,2023-05-24
Restaurant,S - Significant,2023-05-24
Restaurant,S - Significant,2023-05-24
Restaurant,S - Significant,2023-05-24
Restaurant,S - Significant,2023-09-22
Restaurant,S - Significant,2023-06-20
Restaurant,S - Significant,2023-02-21
Restaurant,S - Significant,2023-02-21
Restaurant,S - Significant,2023-02-21
Restaurant,C - Crucial,2023-02-21
Restaurant,S - Significant,2023-02-21
Restaurant,S - Significant,2023-02-21
Restaurant,S - Significant,2023-07-13
Restaurant,S - Significant,2023-07-13
Restaurant,S - Significant,2023-07-13
Restaurant,C - Crucial,2023-07-13
Restaurant,S - Significant,2023-07-13
Restaurant,S - Significant,2023-11-20
Restaurant,C - Crucial,2023-11-20
Restaurant,S - Significant,2023-11-20
Restaurant,S - Significant,2023-03-13
Restaurant,S - Significant,2023-03-13
Restaurant,S - Significant,2023-08-01
Supermarket,C - Crucial,2022-06-21
Mobile Food Preparation Premises,S - Significant,2022-10-27
Mobile Food Preparation Premises,S - Significant,2023-03-02
Mobile Food Preparation Premises,S - Significant,2023-06-15
Mobile Food Preparation Premises,S - Significant,2023-07-24
Mobile Food Preparation Premises,S - Significant,2023-03-02
Restaurant,S - Significant,2023-05-12
Food Store (Convenience/Variety),S - Significant,2023-06-20
Food Store (Convenience/Variety),C - Crucial,2023-06-20
Food Store (Convenience/Variety),S - Significant,2023-06-20
Community Kitchen (Meal Program),S - Significant,2023-06-15
Supermarket,S - Significant,2023-10-19
Supermarket,C - Crucial,2023-10-19
Supermarket,S - Significant,2023-10-19
Food Take Out,C - Crucial,2022-06-16
Food Take Out,S - Significant,2022-06-16
Food Take Out,C - Crucial,2022-06-16
Food Take Out,S - Significant,2023-10-20
Food Store (Convenience/Variety),S - Significant,2023-10-31
Food Store (Convenience/Variety),S - Significant,2023-10-31
Food Store (Convenience/Variety),S - Significant,2023-10-31
Food Take Out,S - Significant,2022-12-14
Food Take Out,S - Significant,2022-07-14
Food Take Out,S - Significant,2023-01-31
Food Take Out,S - Significant,2023-08-24
Bakery,S - Significant,2023-08-24
Bakery,S - Significant,2023-08-24
Restaurant,S - Significant,2022-07-07
Restaurant,S - Significant,2023-04-13
Bakery,S - Significant,2023-08-23
Bakery,S - Significant,2023-08-23
Bakery,S - Significant,2023-08-23
Bakery,S - Significant,2023-08-23
Bakery,C - Crucial,2023-08-23
Bakery,S - Significant,2023-08-23
Bakery,S - Significant,2023-08-23
Bakery,S - Significant,2023-12-06
Bakery,S - Significant,2023-12-06
Bakery,S - Significant,2023-12-06
Food Take Out,S - Significant,2023-04-12
Food Take Out,S - Significant,2023-10-06
Food Take Out,S - Significant,2023-10-06
Food Take Out,S - Significant,2023-11-15
Food Take Out,C - Crucial,2023-11-08
Restaurant,S - Significant,2023-06-30
Restaurant,S - Significant,2023-06-30
Restaurant,S - Significant,2023-06-30
Restaurant,S - Significant,2023-06-30
Restaurant,S - Significant,2023-04-03
Restaurant,S - Significant,2023-08-08
Restaurant,S - Significant,2022-04-25
Restaurant,C - Crucial,2022-04-25
Restaurant,C - Crucial,2022-04-25
Restaurant,S - Significant,2022-04-25
Food Take Out,S - Significant,2022-08-30
Food Take Out,S - Significant,2022-08-30
Food Take Out,S - Significant,2022-08-30
Food Take Out,S - Significant,2023-10-16
Food Take Out,S - Significant,2023-10-16
Restaurant,S - Significant,2023-08-02
Butcher Shop,S - Significant,2022-08-19
Food Store (Convenience/Variety),S - Significant,2022-09-22
Food Store (Convenience/Variety),S - Significant,2022-09-22
Food Store (Convenience/Variety),S - Significant,2023-07-04
Food Take Out,S - Significant,2022-05-26
Food Take Out,S - Significant,2022-05-26
Food Take Out,S - Significant,2023-04-20
Restaurant,S - Significant,2023-08-22
Restaurant,S - Significant,2023-08-22
Restaurant,S - Significant,2023-08-22
Restaurant,S - Significant,2022-04-25
Restaurant,S - Significant,2024-01-03
Food Take Out,S - Significant,2022-06-16
Food Take Out,S - Significant,2022-06-16
Food Take Out,C - Crucial,2022-06-16
Food Take Out,C - Crucial,2022-06-16
Food Take Out,S - Significant,2023-04-03
Food Take Out,S - Significant,2023-04-03
Food Take Out,S - Significant,2023-04-03
Food Take Out,C - Crucial,2023-04-03
Food Take Out,C - Crucial,2023-04-03
Food Take Out,S - Significant,2023-04-03
Food Take Out,C - Crucial,2023-04-03
Food Take Out,S - Significant,2023-08-17
Food Take Out,S - Significant,2023-09-28
Food Take Out,S - Significant,2023-10-16
Food Take Out,S - Significant,2023-10-16
Restaurant,S - Significant,2023-09-25
Banquet Facility,S - Significant,2023-12-06
Banquet Facility,C - Crucial,2023-12-06
Banquet Facility,S - Significant,2023-12-06
Banquet Facility,S - Significant,2023-12-06
Banquet Facility,S - Significant,2023-12-06
Restaurant,S - Significant,2022-09-01
Retirement Homes(Licensed),S - Significant,2024-01-03
Retirement Homes(Licensed),S - Significant,2023-01-13
Retirement Homes(Licensed),S - Significant,2023-09-08
Retirement Homes(Licensed),S - Significant,2023-05-09
Retirement Homes(Licensed),S - Significant,2023-05-09
Retirement Homes(Licensed),S - Significant,2023-09-28
Bakery,S - Significant,2023-02-22
Bakery,S - Significant,2023-02-22
Bakery,S - Significant,2023-02-22
Bakery,S - Significant,2023-08-02
Bakery,S - Significant,2023-08-02
Bakery,S - Significant,2023-08-02
Bakery,S - Significant,2023-08-02
Bakery,S - Significant,2023-12-11
Bakery,S - Significant,2023-12-11
Bakery,S - Significant,2023-12-11
Restaurant,S - Significant,2023-10-12
Cocktail Bar / Beverage Room,S - Significant,2023-01-03
Cocktail Bar / Beverage Room,S - Significant,2023-01-03
Food Store (Convenience/Variety),S - Significant,2022-08-23
Restaurant,S - Significant,2023-11-08
Food Court Vendor,C - Crucial,2024-01-11
Food Court Vendor,S - Significant,2024-01-11
Food Court Vendor,S - Significant,2024-01-11
Food Court Vendor,S - Significant,2024-01-11
Supermarket,S - Significant,2023-10-10
Supermarket,C - Crucial,2023-10-10
Supermarket,S - Significant,2023-10-10
Supermarket,S - Significant,2023-10-10
Supermarket,S - Significant,2023-10-10
Supermarket,S - Significant,2023-10-10
Supermarket,S - Significant,2024-01-08
Supermarket,S - Significant,2024-01-08
Supermarket,S - Significant,2024-01-08
Supermarket,S - Significant,2024-01-08
Food Store (Convenience/Variety),S - Significant,2022-11-16
Food Store (Convenience/Variety),S - Significant,2022-11-16
Restaurant,S - Significant,2022-08-24
Restaurant,S - Significant,2022-11-18
Restaurant,S - Significant,2022-11-18
Restaurant,S - Significant,2022-11-18
Restaurant,S - Significant,2022-06-15
Food Store (Convenience/Variety),C - Crucial,2023-10-23
Food Store (Convenience/Variety),S - Significant,2023-10-23
Restaurant,S - Significant,2022-09-30
Food Processing Plant,S - Significant,2023-12-14
Bakery,S - Significant,2024-01-05
Restaurant,S - Significant,2023-12-14
Restaurant,C - Crucial,2022-10-27
Restaurant,S - Significant,2022-10-27
Restaurant,S - Significant,2023-04-21
Restaurant,S - Significant,2023-04-21
Cafeteria - Private Access,S - Significant,2022-12-02
Restaurant,S - Significant,2023-07-12
Restaurant,S - Significant,2023-03-23
Restaurant,S - Significant,2023-10-11
Restaurant,S - Significant,2022-05-16
Restaurant,S - Significant,2022-05-16
